	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	413	53.42231	53.02467	37.32562	2.18359
	414	53.39125	53.07483	38.16288	2.17868
	415	53.37288	52.91367	37.36242	2.18208
	416	53.28854	52.89492	37.64670	2.18644
	417	53.38883	52.97833	37.91990	2.17371
	418	53.30396	52.99650	37.62134	2.17838
	419	53.31737	52.88950	37.64303	2.18002
	420	53.22742	52.87825	37.45794	2.16644
	421	53.27756	52.95292	37.69624	2.17880
	422	53.23294	52.86275	38.46013	2.14855
	423	53.25283	52.76292	39.61912	2.17509
	424	53.14071	52.90425	38.52507	2.14304
	425	53.16033	52.82350	37.49776	2.20370
	426	53.16410	52.78167	37.29927	2.18344
	427	53.09669	52.76508	37.54458	2.16074
	428	53.07148	52.71967	37.18107	2.15805
	429	53.07596	52.71033	37.83973	2.15488
	430	53.09110	52.71933	37.66539	2.16180
	431	53.07715	52.61933	37.29804	2.22328
	432	53.06635	52.63892	39.25038	2.11391
	433	53.05477	52.68983	37.76288	2.19713
	434	52.99017	52.59717	38.05254	2.19293
	435	52.97315	52.66700	37.21508	2.15713
	436	52.98996	52.61475	39.16289	2.17385
	437	52.95429	52.52400	37.24645	2.20425
	438	52.95317	52.50700	37.41207	2.17001
	439	52.90523	52.55433	37.58437	2.16431
	440	52.88423	52.67517	39.36545	2.16418
	441	52.82515	52.52508	37.81171	2.15583
	442	52.84010	52.47083	37.94298	2.15939
	443	52.77904	52.54017	37.22358	2.16112
	444	52.79227	52.41650	37.31736	2.17325
	445	52.82438	52.40000	37.72546	2.18815
	446	52.84106	52.37117	37.77135	2.16553
	447	52.74196	52.34883	37.69288	2.24004
	448	52.79158	52.39725	38.19591	2.19190
	449	52.71856	52.32592	37.90869	2.19821
	450	52.74873	52.41042	37.39057	2.15754
	451	52.73883	52.29858	37.68059	2.16548
	452	52.71981	52.25742	37.64662	2.17578
	453	52.65512	52.19517	37.71602	2.16932
	454	52.63777	52.28158	37.79046	2.18441
	455	52.64515	52.31158	37.43796	2.16830
	456	52.60642	52.26100	37.44437	2.18325
	457	52.57504	52.19942	37.19134	2.17118
	458	52.61535	52.29800	37.68737	2.17362
	459	52.52481	52.25517	37.56265	2.15770
	460	52.54563	52.18867	37.39974	2.14296
	461	52.53419	52.09508	37.84528	2.16305
	462	52.51933	52.15000	37.48600	2.21113
	463	52.43767	52.10150	37.54771	2.17000
	464	52.46302	52.17733	37.34015	2.16375
	465	52.45592	52.11958	37.48143	2.15574
	466	52.43077	52.17367	37.88861	2.15148
	467	52.39985	51.99300	37.76630	2.17009
	468	52.42581	52.08625	37.29305	2.19000
	469	52.42350	51.98858	37.57500	2.18173
	470	52.38571	52.01125	38.29025	2.18445
	471	52.35610	52.04792	37.40050	2.20813
	472	52.35342	51.93708	37.46639	2.18883
	473	52.36875	52.01033	37.52164	2.14353
	474	52.28427	51.96467	37.34256	2.15035
	475	52.27873	51.90500	37.23453	2.16680
	476	52.23869	51.89692	37.44689	2.14598
	477	52.24115	51.93608	37.49731	2.13699
	478	52.25023	51.75742	37.40909	2.17851
	479	52.17054	51.96933	37.17112	2.15979
	480	52.22002	51.94558	37.20360	2.16130
	481	52.17694	51.85217	37.61859	2.16452
	482	52.24298	51.87917	38.51709	2.13806
	483	52.17790	51.78575	38.68830	2.13007
	484	52.13262	51.78825	38.06232	2.15027
	485	52.18452	51.73083	37.48112	2.14382
	486	52.10681	51.72825	37.80450	2.18924
	487	52.06696	51.84267	37.38814	2.22471
	488	52.10577	51.74717	38.19431	2.15944
	489	52.04048	51.68850	37.87303	2.15796
	490	52.03219	51.68550	37.96529	2.17736
	491	52.03598	51.73083	39.90656	2.13727
	492	52.01444	51.61417	37.61885	2.14600
	493	51.96506	51.70858	37.50251	2.18247
	494	51.94894	51.64058	37.82208	2.18104
	495	51.96523	51.72000	37.88476	2.16520
	496	51.97035	51.59233	37.27791	2.25069
	497	51.98379	51.62317	37.94500	2.17848
	498	51.91123	51.55800	37.70537	2.19347
	499	51.94825	51.57692	38.65019	2.18948
	500	51.87881	51.54558	37.53401	2.18174
	501	51.91017	51.56458	37.53130	2.18467
	502	51.85629	51.55808	37.43301	2.18351
	503	51.87404	51.48133	37.75825	2.15803
	504	51.83881	51.52358	38.63720	2.17949
	505	51.83202	51.48608	37.18867	2.19358
	506	51.80560	51.47717	37.29971	2.19539
	507	51.77256	51.40242	37.46710	2.21452
	508	51.78667	51.37017	37.31563	2.19599
	509	51.76498	51.43325	37.87761	2.19343
	510	51.75819	51.51033	37.69955	2.18953
	511	51.72744	51.40158	37.67209	2.20927
	512	51.64833	51.40350	37.49500	2.19508
	513	51.71858	51.31892	37.37743	2.18452
	514	51.68527	51.32708	37.37748	2.18905
	515	51.67981	51.32750	37.44966	2.14657
	516	51.62833	51.41233	37.88091	2.17965
	517	51.65835	51.25458	37.28364	2.15301
	518	51.64179	51.36283	37.44100	2.14014
	519	51.58729	51.23517	37.29095	2.16008
	520	51.62540	51.32975	37.40255	2.15749
	521	51.51656	51.19342	37.61592	2.17536
	522	51.58819	51.27800	37.51858	2.15417
	523	51.54948	51.16892	37.78970	2.18202
	524	51.53631	51.07467	37.74941	2.14410
	525	51.53231	51.30425	37.74698	2.14805
	526	51.49469	51.27483	37.17755	2.17625
	527	51.46708	51.14475	37.43315	2.16135
	528	51.46396	51.19450	37.41315	2.13043
	529	51.47323	51.16100	37.52203	2.18849
	530	51.42731	51.04067	37.67891	2.16988
	531	51.44323	51.13500	37.41186	2.15815
	532	51.35423	51.04742	37.59387	2.15176
	533	51.40398	51.16600	37.45305	2.17073
	534	51.37679	51.10792	37.30324	2.17258
	535	51.32598	51.08908	37.52785	2.16399
	536	51.37621	50.99392	37.72786	2.15932
	537	51.38679	51.03500	37.45010	2.18571
	538	51.33565	51.01708	37.25783	2.19534
	539	51.34456	51.01375	37.43297	2.18966
	540	51.28683	50.96567	37.98525	2.19559
	541	51.32119	51.02600	37.70600	2.17497
	542	51.30238	50.94800	37.40591	2.16997
	543	51.22973	50.92675	37.47756	2.14511
	544	51.27679	50.94100	37.55538	2.16098
	545	51.20394	50.96158	37.93430	2.16001
	546	51.26821	50.94808	37.24934	2.17113
	547	51.19152	50.93825	42.03204	2.16109
	548	51.19206	50.83958	40.09171	2.14170
	549	51.18060	50.83150	43.91163	2.41199
	550	51.15937	50.93525	46.95740	2.22937
	551	51.17396	50.67983	45.35959	2.20647
	552	51.16177	50.84683	50.42451	2.20410
	553	51.11585	50.88642	40.48547	2.25315
	554	51.11838	50.81075	39.59371	2.12415
	555	51.08215	50.88875	39.07191	2.16044
	556	51.11573	50.79875	40.15074	2.21583
	557	51.09892	50.73250	38.12604	2.13974
	558	51.09085	50.77000	38.40411	2.20529
	559	51.01760	50.66858	45.19715	2.15203
	560	51.09213	50.71925	40.29675	2.19776
	561	51.04273	50.71558	37.83952	2.20037
	562	51.02804	50.63600	37.66360	2.26059
	563	51.02400	50.68617	37.31330	2.18089
	564	51.00254	50.62800	37.24683	2.21327
	565	51.02285	50.68633	37.85273	2.19191
	566	50.95235	50.63733	37.65065	2.19899
	567	50.96781	50.71908	37.47932	2.17478
	568	50.94567	50.66483	38.68917	2.18596
	569	50.91133	50.59767	37.44963	2.21600
	570	50.92360	50.72117	37.43170	2.19061
	571	50.90740	50.60258	37.66035	2.17611
	572	50.89519	50.57975	37.52385	2.16481
	573	50.88319	50.57217	37.32625	2.22092
	574	50.85381	50.52467	37.90466	2.16160
	575	50.83100	50.55583	37.43104	2.21679
	576	50.83965	50.51642	37.88581	2.17791
	577	50.79937	50.51542	37.31776	2.17202
	578	50.82625	50.49925	37.51701	2.18364
	579	50.79758	50.49533	38.04129	2.17275
	580	50.82121	50.44050	37.20885	2.15740
	581	50.78302	50.46717	37.29922	2.16373
	582	50.70531	50.50983	37.12259	2.15928
	583	50.74292	50.46117	38.77379	2.16199
	584	50.75785	50.48225	37.52965	2.15981
	585	50.68762	50.43442	37.01914	2.18883
	586	50.72388	50.38150	37.56522	2.15371
	587	50.75225	50.36783	38.08417	2.15231
	588	50.69875	50.39617	38.28720	2.18384
	589	50.68135	50.46967	37.01801	2.17117
	590	50.64221	50.33842	37.88255	2.17793
	591	50.65073	50.32592	37.00283	2.13575
	592	50.69169	50.41475	37.40214	2.13833
	593	50.63692	50.27475	37.69558	2.18210
	594	50.61979	50.30775	37.38105	2.16032
	595	50.58806	50.38733	37.31820	2.17101
	596	50.59015	50.31108	37.60566	2.16442
	597	50.56213	50.38267	37.37354	2.24266
	598	50.57271	50.20933	41.36711	2.16133
	599	50.57454	50.29500	38.94524	2.21316
